case_no,query_name,scale_factors,bag_semantics
1,5Chain,0.01 0.015 0.021 0.032 0.046 0.068 0.1 0.15 0.21 0.32 0.46 0.68 1 1.5 2.1 3.2 4.6 6.8 10,False
2,5Cycle,0.01 0.015 0.021 0.032 0.046 0.068 0.1 0.15 0.21 0.32 0.46 0.68 1 1.5 2.1 3.2 4.6 6.8 10,False
