instance timestamp,query,domain size,run id,itr exponent,itr start,itr end,itr num,tuples added,bag semantics,max bag size,processor,lp_results: witness computation time,lp_results: number of witnesses,lp_results: Solve Time,lp_results: Solver Solution Time,lp_results: resilience lp approximation,lp_results: Resilience,lp_results: error,ilp_results: witness computation time,ilp_results: number of witnesses,ilp_results: Solve Time,ilp_results: Solver Solution Time,ilp_results: Resilience,ilp_results: error,ilp_results_600: witness computation time,ilp_results_600: number of witnesses,ilp_results_600: Solve Time,ilp_results_600: Solver Solution Time,ilp_results_600: Resilience,ilp_results_600: error,ilp_results_60: witness computation time,ilp_results_60: number of witnesses,ilp_results_60: Solve Time,ilp_results_60: Solver Solution Time,ilp_results_60: Resilience,ilp_results_60: error,ilp_results_10: witness computation time,ilp_results_10: number of witnesses,ilp_results_10: Solve Time,ilp_results_10: Solver Solution Time,ilp_results_10: Resilience,ilp_results_10: error
1668647293.350477,SJ-conf,100,1668647291.037298,2.0353535353535355,0.5,4.5,100,108,True,100,x86_64,0.026751991361379623,2,0.044709788635373116,0.006103288999999901,5,5.0,,0.030429353937506676,2,0.03780829254537821,0.004107839000000002,5.0,,0.029856281355023384,2,0.6764347292482853,0.0051400940000001505,5.0,,0.021151652559638023,2,0.6193433618173003,0.003449921000000078,5.0,,0.029445353895425797,2,0.43310051690787077,0.0034519819999996315,5.0,
1668647295.579932,SJ-conf,100,1668647291.037298,2.075757575757576,0.5,4.5,100,119,True,100,x86_64,0.020801429636776447,2,0.6494450997561216,0.003600145999999693,5,5.0,,0.030194111168384552,2,0.30323300138115883,0.004791293000000252,5.0,,0.03129500895738602,2,0.04157229606062174,0.005278976999999685,5.0,,0.023383377119898796,2,0.03233431652188301,0.0030077909999999264,5.0,,0.01781860738992691,2,0.033165800385177135,0.0030865630000000976,5.0,
1668647297.116169,SJ-conf,100,1668647291.037298,2.1161616161616164,0.5,4.5,100,130,True,100,x86_64,0.019096913747489452,3,0.0385399404913187,0.00371527500000024,8,8.0,,0.03196089155972004,3,0.04009730089455843,0.005288701000000007,8.0,,0.029022397473454475,3,0.038605231791734695,0.004558648999999804,8.0,,0.029357029125094414,3,0.039376999251544476,0.004549685999999831,8.0,,0.028905675746500492,3,0.039080239832401276,0.004016070000000038,8.0,
1668647297.48668,SJ-conf,100,1668647291.037298,2.1565656565656566,0.5,4.5,100,143,True,100,x86_64,0.02991669997572899,8,0.0394071601331234,0.005165404999999623,18,18.0,,0.029889479279518127,8,0.041381157003343105,0.005363463000000124,18.0,,0.03068434540182352,8,0.04040359798818827,0.005136784000000283,18.0,,0.028636588715016842,8,0.0417089369148016,0.006258404999999634,18.0,,0.029013759456574917,8,0.03880322631448507,0.005032721000000073,18.0,
1668647297.891742,SJ-conf,100,1668647291.037298,2.1969696969696972,0.5,4.5,100,157,True,100,x86_64,0.0286027193069458,9,0.040337481535971165,0.005195118000000498,20,20.0,,0.029989886097609997,9,0.04261142574250698,0.00610657899999989,20.0,,0.03265884704887867,9,0.04122506733983755,0.0050129700000001165,20.0,,0.033746328204870224,9,0.039521646685898304,0.0052561520000002915,20.0,,0.031184358522295952,9,0.037938859313726425,0.004927560999999692,20.0,
1668647298.30342,SJ-conf,100,1668647291.037298,2.2373737373737375,0.5,4.5,100,172,True,100,x86_64,0.03065871074795723,13,0.036149910651147366,0.0039239059999998105,27,27.0,,0.03212397452443838,13,0.04188563488423824,0.006041546999999703,27.0,,0.030177532695233822,13,0.042249237187206745,0.006455739999999821,27.0,,0.0324010131880641,13,0.04053616803139448,0.005282259000000344,27.0,,0.02867124881595373,13,0.039498099125921726,0.006209540000000402,27.0,
1668647298.719148,SJ-conf,100,1668647291.037298,2.2777777777777777,0.5,4.5,100,189,True,100,x86_64,0.028676891699433327,15,0.04196423292160034,0.006339203999999654,27,27.0,,0.03044259175658226,15,0.04059711191803217,0.00576775200000057,27.0,,0.028966360725462437,15,0.03772209770977497,0.004049284000000597,27.0,,0.02921438869088888,15,0.0394130228087306,0.006035050000000375,27.0,,0.021053542383015156,15,0.03913611359894276,0.004340309999999903,27.0,
1668647299.118565,SJ-conf,100,1668647291.037298,2.3181818181818183,0.5,4.5,100,208,True,100,x86_64,0.028495431877672672,24,0.052052177488803864,0.007657497999999485,46,46.0,,0.029102752916514874,24,0.04210664704442024,0.007207363000000022,46.0,,0.030779865570366383,24,0.042340006679296494,0.007504160999999954,46.0,,0.032201104797422886,24,0.04144763853400946,0.006309734000000233,46.0,,0.03274288587272167,24,0.04013906233012676,0.006303110999999362,46.0,
1668647299.56367,SJ-conf,100,1668647291.037298,2.358585858585859,0.5,4.5,100,228,True,100,x86_64,0.02746654488146305,35,0.04476676322519779,0.008951565999999467,55,55.0,,0.02974030002951622,35,0.04520759452134371,0.009436949999999555,55.0,,0.02937839087098837,35,0.043748547323048115,0.008323562000000173,55.0,,0.030516344122588634,35,0.04416199028491974,0.008382773000000121,55.0,,0.031115545891225338,35,0.044432900846004486,0.007934979999999925,55.0,
1668647300.023354,SJ-conf,100,1668647291.037298,2.3989898989898992,0.5,4.5,100,250,True,100,x86_64,0.03174183610826731,38,0.04339270666241646,0.009209522999999997,60,60.0,,0.03448999114334583,38,0.04284092225134373,0.008327307000000062,60.0,,0.03376132994890213,38,0.04271948430687189,0.008549971999999961,60.0,,0.03373719472438097,38,0.041594051755964756,0.008510720000000305,60.0,,0.029186035506427288,38,0.04201575927436352,0.008834666999999463,60.0,
