instance timestamp,query,domain size,run id,itr exponent,itr start,itr end,itr num,tuples added,bag semantics,max bag size,processor,lp_results: witness computation time,lp_results: number of witnesses,lp_results: Solve Time,lp_results: Solver Solution Time,lp_results: resilience lp approximation,lp_results: Resilience,lp_results: error,ilp_results: witness computation time,ilp_results: number of witnesses,ilp_results: Solve Time,ilp_results: Solver Solution Time,ilp_results: Resilience,ilp_results: error,ilp_results_600: witness computation time,ilp_results_600: number of witnesses,ilp_results_600: Solve Time,ilp_results_600: Solver Solution Time,ilp_results_600: Resilience,ilp_results_600: error,ilp_results_60: witness computation time,ilp_results_60: number of witnesses,ilp_results_60: Solve Time,ilp_results_60: Solver Solution Time,ilp_results_60: Resilience,ilp_results_60: error,ilp_results_10: witness computation time,ilp_results_10: number of witnesses,ilp_results_10: Solve Time,ilp_results_10: Solver Solution Time,ilp_results_10: Resilience,ilp_results_10: error,flow_tuple_linearization_networkx_results: Resilience,flow_tuple_linearization_networkx_results: Solve Time,flow_tuple_linearization_lp_results: Resilience,flow_tuple_linearization_lp_results: Solve Time,flow_witness_linearization_networkx_results: Resilience,flow_witness_linearization_networkx_results: Solve Time,flow_witness_linearization_lp_results: Resilience,flow_witness_linearization_lp_results: Solve Time
1731640096.248962,3Star,100,1731639799.648564,3.4696969696969697,0.5,4.0,100,2949,False,0,x86_64,0.32007925026118755,766,0.10257979668676853,0.10238957405090332,100,100.0,,0.31291565485298634,766,0.1813872717320919,0.1811971664428711,100.0,,0.32675263844430447,766,0.18317890167236328,0.18301773071289062,100.0,,0.3274604771286249,766,0.18374741822481155,0.18355941772460938,100.0,,0.3271806500852108,766,0.19026529975235462,0.1900787353515625,100.0,,100.0,2.862066049128771,100.0,1.7527676559984684,100.0,2.463699711486697,100.0,1.0546500943601131
1731640114.427485,3Star,100,1731639799.648564,3.5050505050505047,0.5,4.0,100,3199,False,0,x86_64,0.31552888453006744,829,0.11082589067518711,0.11064410209655762,100,99.99999999999615,,0.32154398784041405,829,0.5129244290292263,0.5126810073852539,100.0,,0.37377038411796093,829,0.20352605171501637,0.20333123207092285,100.0,,0.343214500695467,829,0.21218175254762173,0.211961030960083,100.0,,0.32430741004645824,829,0.20920708402991295,0.20902061462402344,100.0,,100.0,2.823762271553278,100.0,2.0517889130860567,100.0,2.243764651939273,100.0,0.9552131872624159
1731640133.325664,3Star,100,1731639799.648564,3.54040404040404,0.5,4.0,100,3470,False,0,x86_64,0.30369569174945354,890,0.11842278391122818,0.11826300621032715,100,99.99999999999997,,0.3058368470519781,890,0.18315009959042072,0.18297934532165527,100.0,,0.2968504372984171,890,0.18236741982400417,0.1822035312652588,100.0,,0.3129745237529278,890,0.1853646207600832,0.1851961612701416,100.0,,0.3125251829624176,890,0.18622020445764065,0.1860518455505371,100.0,,100.0,3.18186167627573,100.0,1.9514362178742886,100.0,2.9184124432504177,100.0,1.0781294722110033
1731640152.557633,3Star,100,1731639799.648564,3.5757575757575757,0.5,4.0,100,3764,False,0,x86_64,0.31805952824652195,968,0.11353404074907303,0.11335539817810059,100,99.99999999999997,,0.3354708570986986,968,0.2047923356294632,0.20459985733032227,100.0,,0.33592743799090385,968,0.19511227868497372,0.19491863250732422,100.0,,0.321453008800745,968,0.21655717305839062,0.21637797355651855,100.0,,0.33765575662255287,968,0.3115307968109846,0.31133484840393066,100.0,,100.0,3.0956404842436314,100.0,1.9971883036196232,100.0,2.9363363329321146,100.0,1.0935788452625275
1731640172.480404,3Star,100,1731639799.648564,3.611111111111111,0.5,4.0,100,4084,False,0,x86_64,0.31097469478845596,1051,0.130254078656435,0.13007640838623047,100,99.99999999999996,,0.3137135040014982,1051,0.20134254731237888,0.20117497444152832,100.0,,0.33236230723559856,1051,0.4233229849487543,0.42310285568237305,100.0,,0.3751419521868229,1051,0.4775023404508829,0.4772789478302002,100.0,,0.39197893999516964,1051,0.23888299614191055,0.23868036270141602,100.0,,100.0,3.026721181347966,100.0,2.163474816828966,100.0,3.102691611275077,100.0,1.2447942607104778
1731640193.596751,3Star,100,1731639799.648564,3.646464646464646,0.5,4.0,100,4430,False,0,x86_64,0.33095064759254456,1148,0.1310889609158039,0.13091444969177246,100,100.0,,0.33031495101749897,1148,0.2340998835861683,0.233900785446167,100.0,,0.3350554574280977,1148,0.22091474756598473,0.22069263458251953,100.0,,0.3357240092009306,1148,0.20757021754980087,0.207381010055542,100.0,,0.33456858433783054,1148,0.2197259310632944,0.21951651573181152,100.0,,100.0,3.1821105927228928,100.0,1.9170336667448282,100.0,3.321971394121647,100.0,1.336757704615593
1731640214.700741,3Star,100,1731639799.648564,3.6818181818181817,0.5,4.0,100,4806,False,0,x86_64,0.33039468340575695,1227,0.1417719703167677,0.14159083366394043,100,99.99999999999994,,0.33347761258482933,1227,0.22270134836435318,0.22250890731811523,100.0,,0.3315814882516861,1227,0.23214306309819221,0.23195099830627441,100.0,,0.3315205406397581,1227,0.22580922953784466,0.2256166934967041,100.0,,0.3318873718380928,1227,0.2201820556074381,0.21997809410095215,100.0,,100.0,3.12281895801425,100.0,2.0747759826481342,100.0,3.452391277998686,100.0,1.6554238311946392
1731640236.716016,3Star,100,1731639799.648564,3.717171717171717,0.5,4.0,100,5214,False,0,x86_64,0.334940267726779,1332,0.14031991735100746,0.14013147354125977,100,99.99999999999997,,0.33725319243967533,1332,0.2381413895636797,0.2379589080810547,100.0,,0.33913985826075077,1332,0.2237846739590168,0.22359132766723633,100.0,,0.33888161554932594,1332,0.23657713644206524,0.23638343811035156,100.0,,0.322851387783885,1332,0.25357944890856743,0.2534048557281494,100.0,,100.0,3.2092246040701866,100.0,2.0515476688742638,100.0,3.713323360309005,100.0,1.4683931544423103
1731640259.086444,3Star,100,1731639799.648564,3.7525252525252526,0.5,4.0,100,5656,False,0,x86_64,0.3203923664987087,1443,0.14420762471854687,0.1440126895904541,100,100.00000000000006,,0.33556109480559826,1443,0.2568562552332878,0.25667524337768555,100.0,,0.3331779297441244,1443,0.2750871330499649,0.27489686012268066,100.0,,0.34207240492105484,1443,0.2570738475769758,0.2568943500518799,100.0,,0.3371030632406473,1443,0.35626276209950447,0.3560807704925537,100.0,,100.0,3.360170502215624,100.0,2.2095220275223255,100.0,3.8254899829626083,100.0,1.734861509874463
1731640282.876113,3Star,100,1731639799.648564,3.7878787878787876,0.5,4.0,100,6135,False,0,x86_64,0.3371541127562523,1566,0.14158961549401283,0.1414186954498291,100,100.0,,0.3234670404344797,1566,0.2183457650244236,0.21814918518066406,100.0,,0.3242830280214548,1566,0.23507889360189438,0.2348647117614746,100.0,,0.34062019921839237,1566,0.24320456758141518,0.2429945468902588,100.0,,0.3399826679378748,1566,0.24206490814685822,0.2418668270111084,100.0,,100.0,3.4649543575942516,100.0,2.2220626529306173,100.0,4.15429131872952,100.0,1.8442598711699247
