instance timestamp,query,scale factor,load from file,data load time,run id,bag semantics,processor,lp_results: witness computation time,lp_results: number of witnesses,lp_results: witnesses of responsibility tuple,lp_results: Solve Time,lp_results: Solver Solution Time,lp_results: responsibility lp approximation,lp_results: Responsibility,lp_results: error,ilp_results: witness computation time,ilp_results: number of witnesses,ilp_results: witnesses of responsibility tuple,ilp_results: Solve Time,ilp_results: Solver Solution Time,ilp_results: Responsibility,ilp_results: error,ilp_results_600: witness computation time,ilp_results_600: number of witnesses,ilp_results_600: witnesses of responsibility tuple,ilp_results_600: Solve Time,ilp_results_600: Solver Solution Time,ilp_results_600: Responsibility,ilp_results_600: error,ilp_results_60: witness computation time,ilp_results_60: number of witnesses,ilp_results_60: witnesses of responsibility tuple,ilp_results_60: Solve Time,ilp_results_60: Solver Solution Time,ilp_results_60: Responsibility,ilp_results_60: error,ilp_results_10: witness computation time,ilp_results_10: number of witnesses,ilp_results_10: witnesses of responsibility tuple,ilp_results_10: Solve Time,ilp_results_10: Solver Solution Time,ilp_results_10: Responsibility,ilp_results_10: error,milp_results: witness computation time,milp_results: number of witnesses,milp_results: witnesses of responsibility tuple,milp_results: Solve Time,milp_results: Solver Solution Time,milp_results: Responsibility,milp_results: error,flow_tuple_linearization_networkx_results: Responsibility,flow_tuple_linearization_networkx_results: Solve Time,flow_tuple_linearization_lp_results: Responsibility,flow_tuple_linearization_lp_results: Solve Time,flow_witness_linearization_networkx_results: Responsibility,flow_witness_linearization_networkx_results: Solve Time,flow_witness_linearization_lp_results: Responsibility,flow_witness_linearization_lp_results: Solve Time
1669830541.041285,5Cycle,0.1,True,0.001489795744419098,1669830541.039739,False,x86_64,0.09236988704651594,320,1,0.09660136047750711,0.056048504999999915,198,198.0,,0.09907975886017084,320,1,0.09536850452423096,0.05596518600000011,198.0,,0.09543099068105221,320,1,0.15104302484542131,0.05937840799999994,198.0,,0.1012624716386199,320,1,0.09897386748343706,0.05834978700000004,198.0,,0.10115359723567963,320,1,0.10164058394730091,0.059904625000000156,198.0,,0.10376224387437105,320,1,0.10202355217188597,0.06237332300000009,198.0,,198.0,6.360806023702025,198.0,1.772761119529605,198.0,4.606773786246777,198.0,1.2368638580664992
1669830496.026317,5Cycle,0.21,True,0.0058863721787929535,1669830481.129789,False,x86_64,0.0535085741430521,1357,1,0.1749971518293023,0.11682165099999864,754,754.0,,0.05533531866967678,1357,1,0.1711672516539693,0.11403116900000043,754.0,,0.05615144316107035,1357,1,0.1783706098794937,0.11042344499999857,754.0,,0.05511805787682533,1357,1,0.1723097860813141,0.11404950999999919,754.0,,0.05602012760937214,1357,1,0.1659476263448596,0.11013464200000023,754.0,,0.0552526181563735,1357,1,0.1732628270983696,0.11609256300000048,754.0,,759.0,24.260522031225264,759.0,8.04799738805741,754.0,13.234614913351834,754.0,2.3888310845941305
1669830661.285765,5Cycle,0.1,True,0.009593381080776453,1669830661.276119,False,x86_64,0.058421249967068434,320,1,0.09574232390150428,0.04903339400000006,199,199.0,,0.06435216777026653,320,1,0.07353129889816046,0.03077989400000014,199.0,,0.06078823423013091,320,1,0.10683665936812758,0.06126414800000002,199.0,,0.08054703194648027,320,1,0.07687719305977225,0.02840792000000003,199.0,,0.07443876285105944,320,1,0.08628953900188208,0.03150198100000012,199.0,,0.05689635407179594,320,1,0.06987140886485577,0.03443115200000002,199.0,,199.0,3.6844328036531806,199.0,0.9706674539484084,199.0,2.6372756180353463,199.0,0.808856665622443
1669830668.328376,5Cycle,0.1,True,0.007215721532702446,1669830668.321089,False,x86_64,0.10032577812671661,320,1,0.10905278380960226,0.06187176399999994,201,201.0,,0.10098963975906372,320,1,0.10472472105175257,0.0609716429999998,201.0,,0.10300471354275942,320,1,0.09697331953793764,0.05729803099999975,201.0,,0.10468822810798883,320,1,0.10944673884660006,0.05920301600000011,201.0,,0.10253575164824724,320,1,0.10078244563192129,0.05882135799999988,201.0,,0.10141769517213106,320,1,0.10378596466034651,0.06015709299999994,201.0,,202.0,6.67611588537693,202.0,1.8484109081327915,201.0,4.716352584771812,201.0,1.2893051141873002
1669830668.328461,5Cycle,0.1,True,0.0073071736842393875,1669830668.321089,False,x86_64,0.10032578650861979,320,1,0.10947983711957932,0.06205744999999996,198,198.0,,0.10014893673360348,320,1,0.1050942288711667,0.06114302699999996,198.0,,0.10279897227883339,320,1,0.09649309515953064,0.05769399799999997,198.0,,0.10519561264663935,320,1,0.10000325366854668,0.05752676100000009,198.0,,0.10181885212659836,320,1,0.10077166650444269,0.05998159999999997,198.0,,0.10001397598534822,320,1,0.1023609722033143,0.061014577999999986,198.0,,198.0,6.708892018534243,198.0,1.7589372592046857,198.0,4.6780861699953675,198.0,1.2754450179636478
1669830730.605256,5Cycle,0.1,True,0.01378003228455782,1669830730.591386,False,x86_64,0.09684878773987293,320,1,0.14188488852232695,0.04531299099999986,198,198.0,,0.10259017534554005,320,1,0.09135688282549381,0.04649365900000002,198.0,,0.09991856012493372,320,1,0.08643925469368696,0.04302980599999984,198.0,,0.09926693234592676,320,1,0.09021919313818216,0.043564150999999995,198.0,,0.10387214086949825,320,1,0.1449916111305356,0.049586856999999984,198.0,,0.11966080404818058,320,1,0.09021497424691916,0.04793452700000023,198.0,,199.0,5.146145752631128,199.0,1.453815451823175,198.0,3.722687428817153,198.0,1.0766385858878493
1669830678.125961,5Cycle,0.21,True,0.018329872749745846,1669830661.276119,False,x86_64,0.0533635881729424,1357,1,0.17841207375749946,0.12285021900000004,753,753.0,,0.05876902909949422,1357,1,0.24080301821231842,0.1599688910000001,753.0,,0.06309040822088718,1357,1,0.2270271060988307,0.15566528899999987,753.0,,0.06082064611837268,1357,1,0.22972554294392467,0.1328267150000002,753.0,,0.06520551396533847,1357,1,0.2142396722920239,0.1445487099999987,753.0,,0.0637564891949296,1357,1,0.177008924074471,0.1271844100000017,753.0,,758.0,27.844653028529137,758.0,9.243896934203804,753.0,14.779327147640288,753.0,2.8152043716982007
1669830699.240788,5Cycle,0.21,True,0.005311734043061733,1669830668.321089,False,x86_64,0.10812510922551155,1357,1,0.3508972078561783,0.2766618280000017,755,755.0,,0.10986318904906511,1357,1,0.3318990869447589,0.2656665459999985,755.0,,0.11275174841284752,1357,1,0.3369527431204915,0.2622566269999993,755.0,,0.1119352001696825,1357,1,0.33585439808666706,0.2658979049999992,755.0,,0.10939332563430071,1357,1,0.33770477678626776,0.2666251620000004,755.0,,0.11284885834902525,1357,1,0.3474646145477891,0.27439234300000237,755.0,,761.0,47.0835784394294,761.0,16.112517897039652,755.0,25.352448756806552,755.0,4.994321690872312
1669830699.240422,5Cycle,0.21,True,0.00493670254945755,1669830668.321089,False,x86_64,0.10759889334440231,1357,1,0.35225136764347553,0.2775181629999999,754,754.0,,0.1098812511190772,1357,1,0.33305266313254833,0.2668037599999984,754.0,,0.11263822205364704,1357,1,0.33855953346937895,0.2638824530000008,754.0,,0.11204017791897058,1357,1,0.3371069198474288,0.2682579770000011,754.0,,0.10941529180854559,1357,1,0.3378884205594659,0.26772514900000033,754.0,,0.11284115072339773,1357,1,0.3477827487513423,0.2745099149999959,754.0,,759.0,47.45276711136103,759.0,15.844098480418324,754.0,25.485320436768234,754.0,5.008142631500959
1669830754.065299,5Cycle,0.21,True,0.00822165422141552,1669830730.591386,False,x86_64,0.096722143702209,1357,1,0.2755705798044801,0.20488080299999822,753,753.0,,0.09979858342558146,1357,1,0.2628838550299406,0.19592849200000018,753.0,,0.10333981178700924,1357,1,0.26088969223201275,0.19531730699999983,753.0,,0.1015485217794776,1357,1,0.2678261389955878,0.20025505199999927,753.0,,0.09866527188569307,1357,1,0.25792774837464094,0.19266966200000013,753.0,,0.10195380076766014,1357,1,0.2731725908815861,0.20753189999999933,753.0,,758.0,39.74786967691034,758.0,15.55015069898218,753.0,21.45008126553148,753.0,4.306930986233056
