instance timestamp,query,domain size,run id,itr exponent,itr start,itr end,itr num,tuples added,bag semantics,max bag size,processor,lp_results: witness computation time,lp_results: number of witnesses,lp_results: Solve Time,lp_results: Solver Solution Time,lp_results: resilience lp approximation,lp_results: Resilience,lp_results: error,ilp_results: witness computation time,ilp_results: number of witnesses,ilp_results: Solve Time,ilp_results: Solver Solution Time,ilp_results: Resilience,ilp_results: error,ilp_results_600: witness computation time,ilp_results_600: number of witnesses,ilp_results_600: Solve Time,ilp_results_600: Solver Solution Time,ilp_results_600: Resilience,ilp_results_600: error,ilp_results_60: witness computation time,ilp_results_60: number of witnesses,ilp_results_60: Solve Time,ilp_results_60: Solver Solution Time,ilp_results_60: Resilience,ilp_results_60: error,ilp_results_10: witness computation time,ilp_results_10: number of witnesses,ilp_results_10: Solve Time,ilp_results_10: Solver Solution Time,ilp_results_10: Resilience,ilp_results_10: error
1668647057.255416,SJ-chain,100,1668647056.759868,0.9848484848484849,0.5,4.5,100,9,True,100,x86_64,0.01544502004981041,3,0.048025249503552914,0.004255204999999984,5,5.0,,0.017463321797549725,3,0.04339067917317152,0.003982541999999922,5.0,,0.01741410419344902,3,0.04342938773334026,0.004021808000000071,5.0,,0.01746788341552019,3,0.04298796784132719,0.004015467000000106,5.0,,0.017440292052924633,3,0.04294949397444725,0.003991758999999817,5.0,
1668647057.595643,SJ-chain,100,1668647056.759868,1.0252525252525253,0.5,4.5,100,10,True,100,x86_64,0.015479977242648602,4,0.04197616130113602,0.004141063000000056,9,9.0,,0.017603439278900623,4,0.043197209015488625,0.004130308999999999,9.0,,0.01766934897750616,4,0.04189086239784956,0.0041425739999998434,9.0,,0.017649151384830475,4,0.042198105715215206,0.004105814999999957,9.0,,0.01753815822303295,4,0.04143040254712105,0.004105763999999956,9.0,
1668647057.925526,SJ-chain,100,1668647056.759868,1.0656565656565657,0.5,4.5,100,11,True,100,x86_64,0.01550384797155857,4,0.041727274656295776,0.0041857339999999965,9,9.0,,0.01759814191609621,4,0.041777513921260834,0.004101205999999857,9.0,,0.01760227419435978,4,0.04245444666594267,0.0041180780000000805,9.0,,0.01769601833075285,4,0.04157158639281988,0.004134583000000136,9.0,,0.017562774941325188,4,0.04133964702486992,0.004090399000000078,9.0,
1668647058.253116,SJ-chain,100,1668647056.759868,1.106060606060606,0.5,4.5,100,12,True,100,x86_64,0.015580086037516594,5,0.04149751365184784,0.00418959100000027,11,11.0,,0.01773450616747141,5,0.0416633952409029,0.0041666819999997,11.0,,0.018038018606603146,5,0.04127044230699539,0.004148754999999671,11.0,,0.017714982852339745,5,0.041445812210440636,0.0041449879999997385,11.0,,0.01746731996536255,5,0.04151762090623379,0.004139437999999718,11.0,
1668647058.581568,SJ-chain,100,1668647056.759868,1.1464646464646466,0.5,4.5,100,14,True,100,x86_64,0.015496515668928623,6,0.041987637989223,0.0043016539999998216,16,16.0,,0.017628083005547523,6,0.04181006737053394,0.004274688000000193,16.0,,0.017606515437364578,6,0.0417880630120635,0.004283703000000028,16.0,,0.017674056813120842,6,0.04186180513352156,0.004263324000000068,16.0,,0.017710689455270767,6,0.04135458078235388,0.004268531000000131,16.0,
1668647058.912146,SJ-chain,100,1668647056.759868,1.1868686868686869,0.5,4.5,100,15,True,100,x86_64,0.01562597043812275,7,0.04179433360695839,0.004372463999999798,25,25.0,,0.01761092245578766,7,0.042220111936330795,0.00430432699999983,25.0,,0.017694749869406223,7,0.04400459863245487,0.004335310000000092,25.0,,0.017678648233413696,7,0.042563426308333874,0.004274061000000273,25.0,,0.01763385906815529,7,0.04151211306452751,0.0043419799999999675,25.0,
1668647059.247079,SJ-chain,100,1668647056.759868,1.2272727272727273,0.5,4.5,100,16,True,100,x86_64,0.015617907978594303,7,0.04254875145852566,0.004381973999999733,25,25.0,,0.017722715623676777,7,0.041722655296325684,0.004331089000000343,25.0,,0.01776175945997238,7,0.04243374243378639,0.004452264999999844,25.0,,0.017612561583518982,7,0.04214693699032068,0.004308045999999788,25.0,,0.017637448385357857,7,0.04204510524868965,0.004358595000000243,25.0,
1668647059.581514,SJ-chain,100,1668647056.759868,1.2676767676767677,0.5,4.5,100,18,True,100,x86_64,0.01567709632217884,9,0.04333369713276625,0.004545073000000066,26,26.0,,0.01749651599675417,9,0.04462283290922642,0.00445461399999969,26.0,,0.017612997442483902,9,0.04283719602972269,0.004488975000000117,26.0,,0.017598035745322704,9,0.045980130322277546,0.0044715800000001416,26.0,,0.01754781138151884,9,0.04418358579277992,0.004478767000000161,26.0,
1668647059.928156,SJ-chain,100,1668647056.759868,1.3080808080808082,0.5,4.5,100,20,True,100,x86_64,0.015555618330836296,10,0.04205423500388861,0.00459923299999998,28,28.0,,0.01754095498472452,10,0.04223345220088959,0.004504827999999961,28.0,,0.01751065533608198,10,0.04241135064512491,0.004522929999999814,28.0,,0.017535879276692867,10,0.04284330643713474,0.004534638000000424,28.0,,0.017494832165539265,10,0.0418111952021718,0.004535367000000345,28.0,
1668647060.26581,SJ-chain,100,1668647056.759868,1.3484848484848486,0.5,4.5,100,22,True,100,x86_64,0.01537057664245367,13,0.042452653869986534,0.004732100000000017,33,33.0,,0.017521338537335396,13,0.04365808982402086,0.0047197720000000665,33.0,,0.017564844340085983,13,0.045020509511232376,0.004721243000000097,33.0,,0.017613803036510944,13,0.045109864324331284,0.004718748000000161,33.0,,0.017598588950932026,13,0.04586129542440176,0.004697503000000047,33.0,
