instance timestamp,query,domain size,run id,itr exponent,itr start,itr end,itr num,tuples added,bag semantics,max bag size,processor,lp_results: witness computation time,lp_results: number of witnesses,lp_results: Solve Time,lp_results: Solver Solution Time,lp_results: resilience lp approximation,lp_results: Resilience,lp_results: error,ilp_results: witness computation time,ilp_results: number of witnesses,ilp_results: Solve Time,ilp_results: Solver Solution Time,ilp_results: Resilience,ilp_results: error,ilp_results_600: witness computation time,ilp_results_600: number of witnesses,ilp_results_600: Solve Time,ilp_results_600: Solver Solution Time,ilp_results_600: Resilience,ilp_results_600: error,ilp_results_60: witness computation time,ilp_results_60: number of witnesses,ilp_results_60: Solve Time,ilp_results_60: Solver Solution Time,ilp_results_60: Resilience,ilp_results_60: error,ilp_results_10: witness computation time,ilp_results_10: number of witnesses,ilp_results_10: Solve Time,ilp_results_10: Solver Solution Time,ilp_results_10: Resilience,ilp_results_10: error
1731629720.228898,SJ-conf,50,1731629718.072391,1.5204081632653061,0.5,3.0,50,33,True,100,x86_64,0.032226914539933205,1,0.1543853748589754,0.14464926719665527,2,2.0,,0.033044083043932915,1,0.12729352340102196,0.12717318534851074,2.0,,0.034017665311694145,1,0.14888818189501762,0.14874482154846191,2.0,,0.03299226053059101,1,0.10836562886834145,0.10824322700500488,2.0,,0.03430626913905144,1,0.09623125195503235,0.09608864784240723,2.0,
1731629721.139368,SJ-conf,50,1731629718.072391,1.5714285714285714,0.5,3.0,50,37,True,100,x86_64,0.03208217769861221,2,0.12990690395236015,0.129774808883667,9,9.0,,0.03406206704676151,2,0.10274664126336575,0.1025996208190918,9.0,,0.034466518089175224,2,0.10724435932934284,0.10709667205810547,9.0,,0.032372940331697464,2,0.11919753812253475,0.11905312538146973,9.0,,0.03414514288306236,2,0.10708079859614372,0.10693931579589844,9.0,
1731629721.963467,SJ-conf,50,1731629718.072391,1.6224489795918369,0.5,3.0,50,41,True,100,x86_64,0.0325460284948349,2,0.10940790921449661,0.10926580429077148,9,9.0,,0.03404822014272213,2,0.11834469623863697,0.11820411682128906,9.0,,0.032776493579149246,2,0.09955381788313389,0.09941315650939941,9.0,,0.040456585586071014,2,0.11168461851775646,0.11142325401306152,9.0,,0.03434803523123264,2,0.11334614641964436,0.11319613456726074,9.0,
1731629722.787895,SJ-conf,50,1731629718.072391,1.6734693877551021,0.5,3.0,50,47,True,100,x86_64,0.030354496091604233,2,0.11594784073531628,0.11580872535705566,9,9.0,,0.03428726829588413,2,0.10628724470734596,0.10614538192749023,9.0,,0.033107711002230644,2,0.10588308051228523,0.10574698448181152,9.0,,0.03450009971857071,2,0.12468714453279972,0.12452864646911621,9.0,,0.03395135700702667,2,0.12587178871035576,0.125732421875,9.0,
1731629723.626695,SJ-conf,50,1731629718.072391,1.7244897959183674,0.5,3.0,50,53,True,100,x86_64,0.03225038945674896,3,0.13382604345679283,0.13367986679077148,11,11.0,,0.03317259065806866,3,0.13827694207429886,0.1381375789642334,11.0,,0.03469892032444477,3,0.1800223756581545,0.17987632751464844,11.0,,0.03291899152100086,3,0.16452490165829659,0.16439032554626465,11.0,,0.03733712434768677,3,0.13432307913899422,0.13417434692382812,11.0,
1731629724.650572,SJ-conf,50,1731629718.072391,1.7755102040816326,0.5,3.0,50,59,True,100,x86_64,0.030331652611494064,3,0.12623693980276585,0.12610483169555664,11,11.0,,0.03367036394774914,3,0.11178590543568134,0.11164236068725586,11.0,,0.03440580144524574,3,0.07364228367805481,0.07349872589111328,11.0,,0.032860906794667244,3,0.09394863992929459,0.09380936622619629,11.0,,0.035205990076065063,3,0.10215759091079235,0.10201287269592285,11.0,
1731629725.43759,SJ-conf,50,1731629718.072391,1.8265306122448979,0.5,3.0,50,67,True,100,x86_64,0.031570468097925186,5,0.10291294567286968,0.10274195671081543,17,17.0,,0.03457271866500378,5,0.11142699234187603,0.11127305030822754,17.0,,0.03414400666952133,5,0.10638047568500042,0.10624051094055176,17.0,,0.03289474733173847,5,0.09367710538208485,0.09353995323181152,17.0,,0.03377256914973259,5,0.10133423283696175,0.10118722915649414,17.0,
1731629726.199643,SJ-conf,50,1731629718.072391,1.8775510204081634,0.5,3.0,50,75,True,100,x86_64,0.03101213090121746,6,0.13654533214867115,0.13641023635864258,18,18.0,,0.03423289209604263,6,0.11802098713815212,0.11787724494934082,18.0,,0.03406100533902645,6,0.11156770773231983,0.111419677734375,18.0,,0.03209206461906433,6,0.10710304044187069,0.1069648265838623,18.0,,0.03241723217070103,6,0.12645878829061985,0.1263110637664795,18.0,
1731629727.066181,SJ-conf,50,1731629718.072391,1.9285714285714286,0.5,3.0,50,84,True,100,x86_64,0.030462587252259254,8,0.12680751457810402,0.1266648769378662,22,22.0,,0.034326346591115,8,0.1274916660040617,0.12735223770141602,22.0,,0.03293168172240257,8,0.11941026709973812,0.11928606033325195,22.0,,0.03433568403124809,8,0.13185006380081177,0.13169336318969727,22.0,,0.03458569198846817,8,0.11740475334227085,0.11725878715515137,22.0,
1731629727.960431,SJ-conf,50,1731629718.072391,1.9795918367346939,0.5,3.0,50,95,True,100,x86_64,0.03224860318005085,8,0.1115345936268568,0.11139297485351562,22,22.0,,0.03288318030536175,8,0.10434209927916527,0.10421872138977051,22.0,,0.03419521078467369,8,0.09998730383813381,0.09984040260314941,22.0,,0.034470079466700554,8,0.12449152395129204,0.1243438720703125,22.0,,0.0324384905397892,8,0.11000287905335426,0.10985851287841797,22.0,
1731629728.785942,SJ-conf,50,1731629718.072391,2.0306122448979593,0.5,3.0,50,107,True,100,x86_64,0.03204316832125187,11,0.15189765952527523,0.15175580978393555,29,29.0,,0.03291722759604454,11,0.1331314481794834,0.1329517364501953,29.0,,0.033993085846304893,11,0.10588592477142811,0.1057436466217041,29.0,,0.03303370624780655,11,0.12240547314286232,0.12228512763977051,29.0,,0.0342132393270731,11,0.12034918740391731,0.12020754814147949,29.0,
1731629729.684871,SJ-conf,50,1731629718.072391,2.0816326530612246,0.5,3.0,50,120,True,100,x86_64,0.031110228970646858,15,0.1352896485477686,0.13512873649597168,34,34.0,,0.03306710906326771,15,0.1295419316738844,0.1293962001800537,34.0,,0.03310762904584408,15,0.1170761976391077,0.11693739891052246,34.0,,0.03326479718089104,15,0.12420379184186459,0.12405061721801758,34.0,,0.032714176923036575,15,0.13767815008759499,0.13751959800720215,34.0,
1731629730.611622,SJ-conf,50,1731629718.072391,2.13265306122449,0.5,3.0,50,135,True,100,x86_64,0.03164457157254219,18,0.11561679281294346,0.11546635627746582,37,37.0,,0.03483426384627819,18,0.10614851862192154,0.1060018539428711,37.0,,0.03273176774382591,18,0.12097224593162537,0.1208353042602539,37.0,,0.033364688977599144,18,0.13734134286642075,0.1372087001800537,37.0,,0.03467618301510811,18,0.12783659808337688,0.12768959999084473,37.0,
1731629731.50791,SJ-conf,50,1731629718.072391,2.183673469387755,0.5,3.0,50,152,True,100,x86_64,0.031633637845516205,25,0.10203219391405582,0.10189008712768555,54,54.0,,0.034960128366947174,25,0.07856461964547634,0.07841277122497559,54.0,,0.03492618352174759,25,0.08963453583419323,0.08946442604064941,54.0,,0.03366273455321789,25,0.12681582756340504,0.1266922950744629,54.0,,0.03493734635412693,25,0.13390294462442398,0.13375020027160645,54.0,
1731629732.299737,SJ-conf,50,1731629718.072391,2.2346938775510203,0.5,3.0,50,171,True,100,x86_64,0.03344130888581276,39,0.12490597926080227,0.12475132942199707,68,68.0,,0.03494744189083576,39,0.12278185784816742,0.12262988090515137,68.0,,0.03356160782277584,39,0.1267732623964548,0.1266191005706787,68.0,,0.034720901399850845,39,0.12975767254829407,0.12959623336791992,68.0,,0.03413661941885948,39,0.13028212264180183,0.1301281452178955,68.0,
